subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z,n_outlier_norms,n_outlier_sample_nonpar,n_outlier_sample_param,QC_metric
SUBJ_00240,13.7429190740133,6.556224252084042,20.74092888442328,7.463817598719686,0.0023739735368745,8,7,9,9,0.4,0.8,3.4258463,3.5389183,-0.2120166820833217,0.021819644753125,-0.0293991776117684,6.0,1,6,-2.5687094791185423
SUBJ_00241,14.85130631510934,7.350499961307857,24.745769567252296,8.556164843816672,0.003033298088677,23,9,11,11,0.5,3.6,3.4324903,3.4061966,-0.2412689894489214,0.0219539783426238,-0.0222385044240958,6.0,2,6,-1.5975189652892905
SUBJ_00242,15.15768506445274,7.459967631683683,25.277019615336364,8.783804762914809,0.0029008417881361,12,7,18,10,0.6,0.8,3.6085117,3.56517,-0.2855887662882206,0.0202587815610858,-0.0419668504290834,10.0,1,0,-2.459547605485852
SUBJ_00244,14.711282877287092,7.214716023480341,23.86624929117747,8.244012268848154,0.0021096581785699,16,12,14,11,0.7,0.5,3.5791755,3.598643,-0.105690650968842,0.0757826113694308,0.0356178228581138,2.0,2,2,-2.05722586052678
SUBJ_00247,16.240299293071487,6.96027273135019,23.74213061630072,8.039061360808438,0.003067100526542,12,8,9,17,0.5,0.6,3.7669563,3.7082784,-0.3760807779055463,-0.0299723944799611,0.0160285530001373,3.0,0,3,-3.440562140631396
SUBJ_00248,15.296821816665425,7.422115612800537,24.839948768063262,8.496030763810518,0.0032056511071889,7,9,9,11,0.3,0.4,3.6008003,3.3992124,-0.3631852457537111,-0.059888860327959,-0.0644305993668801,1.0,0,1,-3.180673096890128
SUBJ_00250,15.349395719648395,7.2065355334307,24.685523856572186,8.149083588182728,0.002377581355228,12,16,14,19,0.6,0.7,3.4794092,3.4740243,-0.3047756621731017,0.0446219377723167,-0.0033629495064,1.0,0,3,-2.00525821299062
SUBJ_00252,14.957784294539598,7.214708212308028,25.89760496505696,8.245027891518111,0.0039598581988093,12,2,11,7,0.3,0.7,3.6882272,3.6438525,-0.2367423994882313,0.0331506829637911,-0.0369424831211964,6.0,3,7,-3.297297455686216
SUBJ_00255,14.999083116178108,7.1817910753658,24.265568609938985,8.175668021697174,0.0026941291477347,9,6,16,9,0.3,0.5,3.5915163,3.5976298,-0.3472954826957946,0.0697516190763086,0.1005831940028036,3.0,0,0,-3.36273224584875
SUBJ_00257,15.06218449969498,7.041978319967689,24.77008898852587,8.27751898039685,0.0026463831044521,8,5,9,14,0.4,0.7,3.7230322,3.5485878,-0.2780152780522876,-0.0304038779547013,-0.014788660026511,8.0,0,2,-3.1740977824313283
SUBJ_00259,15.973806953563402,7.263104438869728,25.910930577756496,8.47891269978741,0.0029216130747459,3,11,5,16,0.2,0.4,3.5262122,3.5043688,-0.2881961104730087,0.0512260855617094,-0.0783049775957524,1.0,0,0,-3.3865388565380377
SUBJ_00260,15.088822942637709,7.178791888125176,23.68805614577674,8.50656568725759,0.0023974824653884,12,5,16,19,0.5,0.7,3.7825341,3.7666485,-0.2328159231913077,-0.0258359400756472,-0.0232798818220071,4.0,1,4,-2.56465811294649
SUBJ_00261,16.518539691372094,7.048252611081324,26.280255473004075,8.288341031345704,0.0022976106515388,11,7,16,15,0.7,0.7,3.7132027,3.6090364,-0.2050511194987715,0.021244006598898,-0.0067629612921203,7.0,2,3,-2.6988290892939064
SUBJ_00263,15.863951228613043,6.9609455311666135,25.861601759705778,7.834786428241046,0.0033047943583515,8,9,8,7,0.5,0.6,3.7586594,3.6184723,-0.2969868735727936,0.0048770159880447,-0.0011260327438536,5.0,0,1,-3.861860558044079
SUBJ_00271,15.399073210796622,7.11623967102687,23.960977368271173,8.14991640591941,0.0031792470582785,9,15,14,18,0.5,0.6,3.4604502,3.375868,-0.2697077991722343,0.1094770670395814,-0.0325221186705454,2.0,0,0,-2.0673146859232654
SUBJ_00272,15.580548121552711,7.111688626296408,25.439544911998,8.150742151272786,0.0025403782079761,7,7,7,12,0.3,0.3,3.7255406,3.559539,-0.3047679587587094,0.0121203548268379,0.0293673736634458,3.0,0,0,-3.7696110466903874
SUBJ_00275,15.427341042566498,6.869513571288991,25.660035134355127,8.162711357659147,0.0029037494045493,9,14,11,12,0.3,1.1,3.6017427,3.4953372,-0.1401020277478964,0.0304771121533659,-0.0338726594252071,2.0,0,1,-2.5909108428174217
SUBJ_00276,13.88366792440928,7.254908735333144,23.926055097540047,8.780987816005412,0.0033599822696368,11,8,13,16,0.4,0.4,3.6673336,3.5795774,-0.1970076368558609,0.0567690076628124,-0.0489639026724056,4.0,1,1,-2.308534458203872
SUBJ_00278,14.79943881421364,7.080558317309106,23.742292440374207,8.602893340080135,0.0021187546719119,9,6,14,10,0.5,0.7,3.6043143,3.5177867,-0.1991558276048761,0.0324048572448961,0.0029992436368667,6.0,0,2,-2.658995917390773
SUBJ_00280,16.968345211215734,7.034034972291309,26.44911020014469,8.107049149474932,0.002293929065376,12,4,7,14,0.5,0.4,3.591045,3.607656,-0.217369753862453,-0.0166253338052264,-0.0434606318788848,2.0,0,1,-3.398973998495068
SUBJ_00281,15.176448690142648,7.157766912279666,27.057579143758865,8.301669458840669,0.0029231769416205,15,13,16,13,0.6,0.7,3.5076127,3.4481208,-0.2163657700561666,0.0847672815945816,-0.0165422736614162,0.0,0,2,-2.1535042424960067
SUBJ_00283,14.31307568245694,6.930756535687356,25.05215234549365,8.117330274475304,0.0025229575178538,9,15,12,13,0.8,1.7,4.088143,3.9037762,-0.4308132003392977,0.0237392894045333,-0.0625503196005328,4.0,1,5,-3.7379090765690206
SUBJ_00284,15.481203999183297,6.763756585192371,26.395168249527096,8.029907354205099,0.0028438988933938,4,5,12,11,0.4,0.4,3.7882185,3.7439458,-0.1341428150555438,0.0227975429214267,0.0101650168371613,0.0,1,3,-3.67728717072952
SUBJ_00286,15.120870953542696,7.500538866283805,25.103050637113952,8.662440635813825,0.0027296044233137,3,9,12,10,0.5,0.5,3.9382572,3.8188665,-0.3003274000806495,0.0788104548039376,0.038714128926328,4.0,0,3,-3.988837164284297
SUBJ_00288,15.705007628610396,6.823434332131617,23.66343239694426,7.834465817143917,0.0031351038835501,6,7,12,11,0.4,0.5,3.3754969,3.4149792,-0.2847222100964634,0.058387176751775,0.0074533316394215,2.0,2,8,-2.797608958812884
SUBJ_00289,15.936953263378015,7.07760983014931,28.508846319209336,8.333457813365879,0.0034336135922103,5,3,6,7,0.2,0.3,3.688201,3.625534,-0.1927104940317833,-0.014238385866423,0.0293860198509387,2.0,0,1,-4.19699069055029
SUBJ_00290,14.088379163304133,6.832464100336231,22.80752848013953,8.18817024786553,0.002627839059944,5,6,10,8,0.4,0.3,3.7175887,3.644104,-0.2634726789399699,0.047719077341965,0.0942571228749662,8.0,4,17,-3.2517440518948
SUBJ_00292,15.79435018260096,7.197691962460297,26.162758129008683,8.46279785642587,0.0030758497493237,6,4,8,6,0.3,0.4,3.412452,3.2787585,-0.1818552365566953,-0.0414334611153853,-0.0151426668066574,0.0,0,1,-3.115364362812172
SUBJ_00293,15.113404780971331,7.352958116213389,26.239575459303506,8.613040547498667,0.0026299784695954,11,5,13,8,0.5,0.8,3.5723057,3.528545,-0.187795445799243,-0.0169686674813151,0.0394564603661588,6.0,0,0,-2.8072385169092566
SUBJ_00296,14.146169552890722,6.647770300923707,23.87174888424189,8.023816135371968,0.0029251496805108,9,4,8,13,0.3,0.8,3.6361296,3.5420387,-0.1772821816265672,0.0116944612036833,-0.0429009958532927,7.0,3,1,-2.8558217751647685
