"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","visit"
"pliks18TH0 - pliks18TH1",-0.252085956472294,0.184221231581955,406,-0.74050230295116,0.236330390006573,-1.36838709798847,0.343895367996735,"20y"
"pliks18TH0 - pliks18TH2",-0.272417789966403,0.164515467038396,406,-0.708589248924494,0.163753668991688,-1.65587950403973,0.295556629693138,"20y"
"pliks18TH0 - pliks18TH3",-0.438753026447303,0.214167950222809,406,-1.00656557922658,0.129059526331974,-2.04863998553868,0.246838771317904,"20y"
"pliks18TH1 - pliks18TH2",-0.0203318334941097,0.213330535189695,406,-0.585924190547587,0.545260523559367,-0.0953067195750035,0.924118227082444,"20y"
"pliks18TH1 - pliks18TH3",-0.186667069975009,0.253483306680755,406,-0.858714420213894,0.485380280263876,-0.736407743844462,0.585875601628901,"20y"
"pliks18TH2 - pliks18TH3",-0.166335236480899,0.239759162585581,406,-0.801996464121681,0.469325991159883,-0.693759665687548,0.585875601628901,"20y"
"pliks18TH0 - pliks18TH1",-0.484855354320926,0.217117207659274,108,-1.06840636829905,0.0986956596571985,-2.2331502857287,0.165606298998131,"30y"
"pliks18TH0 - pliks18TH2",-0.207695450731793,0.196123504078084,108,-0.734821194948778,0.319430293485193,-1.05900336478336,0.476245540762611,"30y"
"pliks18TH0 - pliks18TH3",0.0396563612800985,0.301720443710961,108,-0.771284755564816,0.850597478125013,0.131434120911237,0.895676430846999,"30y"
"pliks18TH1 - pliks18TH2",0.277159903589133,0.275983612694613,108,-0.464607728583195,1.01892753576146,1.0042621765946,0.476245540762611,"30y"
"pliks18TH1 - pliks18TH3",0.524511715601024,0.358752659370472,108,-0.439716225610918,1.48873965681297,1.4620427247046,0.439899815764824,"30y"
"pliks18TH2 - pliks18TH3",0.247351812011891,0.345380160323117,108,-0.680934549706492,1.17563817373027,0.716172613332752,0.570516586334598,"30y"
