ROI,weight
CurvInd_lh_caudalanteriorcingulate,-0.11961637651081423
CurvInd_lh_caudalmiddlefrontal,-0.04493048200115064
CurvInd_lh_cuneus,-0.037837495187038626
CurvInd_lh_entorhinal,-0.12651631181508718
CurvInd_lh_fusiform,-0.06388712268348816
CurvInd_lh_inferiorparietal,-0.037224927364665844
CurvInd_lh_inferiortemporal,-0.038919983064356345
CurvInd_lh_insula,-0.0579311497356089
CurvInd_lh_isthmuscingulate,-0.12721691710867702
CurvInd_lh_lateraloccipital,-0.020259664541830053
CurvInd_lh_lateralorbitofrontal,-0.04865955328216803
CurvInd_lh_lingual,-0.044728433160318055
CurvInd_lh_medialorbitofrontal,-0.025638266116384156
CurvInd_lh_middletemporal,-0.04714075414198317
CurvInd_lh_paracentral,-0.0659343389997016
CurvInd_lh_parahippocampal,-0.1587393902940256
CurvInd_lh_parsopercularis,-0.06535026330030473
CurvInd_lh_parsorbitalis,-0.06153432785895653
CurvInd_lh_parstriangularis,-0.04835082426998252
CurvInd_lh_pericalcarine,-0.03233346045332615
CurvInd_lh_postcentral,-0.023261551172928434
CurvInd_lh_posteriorcingulate,-0.08185103784394182
CurvInd_lh_precentral,-0.02250686757928056
CurvInd_lh_precuneus,-0.05738778890707652
CurvInd_lh_rostralanteriorcingulate,-0.12062034617454764
CurvInd_lh_rostralmiddlefrontal,-0.03208693933041842
CurvInd_lh_superiorfrontal,-0.028521941113461582
CurvInd_lh_superiorparietal,-0.031926769927926466
CurvInd_lh_superiortemporal,-0.02843854187021082
CurvInd_lh_supramarginal,-0.052757572313839776
CurvInd_lh_transversetemporal,-0.08592958794933993
CurvInd_rh_caudalanteriorcingulate,-0.07291146768928555
CurvInd_rh_caudalmiddlefrontal,-0.02608190507823266
CurvInd_rh_cuneus,-0.07069828637337303
CurvInd_rh_entorhinal,-0.05177282001537509
CurvInd_rh_fusiform,-0.05274666618411251
CurvInd_rh_inferiorparietal,-0.033829122540684896
CurvInd_rh_inferiortemporal,-0.0421163460996921
CurvInd_rh_insula,-0.08178604672399178
CurvInd_rh_isthmuscingulate,-0.13216959201157488
CurvInd_rh_lateraloccipital,-0.023029606777509714
CurvInd_rh_lateralorbitofrontal,-0.044535336162282314
CurvInd_rh_lingual,-0.054336148042798176
CurvInd_rh_medialorbitofrontal,-0.03626196341982206
CurvInd_rh_middletemporal,-0.035583667139640895
CurvInd_rh_paracentral,-0.07507797859042545
CurvInd_rh_parahippocampal,-0.19941795768274104
CurvInd_rh_parsopercularis,-0.05664670674237325
CurvInd_rh_parsorbitalis,-0.06129199176220417
CurvInd_rh_parstriangularis,-0.016857633061505967
CurvInd_rh_pericalcarine,-0.03518048194633156
CurvInd_rh_postcentral,-0.02756662121526566
CurvInd_rh_posteriorcingulate,-0.1303457599522191
CurvInd_rh_precentral,-0.023147681559651967
CurvInd_rh_precuneus,-0.054720234226331134
CurvInd_rh_rostralanteriorcingulate,-0.11917403441997595
CurvInd_rh_rostralmiddlefrontal,-0.039546235177483555
CurvInd_rh_superiorfrontal,-0.025113115725113034
CurvInd_rh_superiorparietal,-0.02315775051972005
CurvInd_rh_superiortemporal,-0.03390795925009537
CurvInd_rh_supramarginal,-0.04134141359157602
CurvInd_rh_transversetemporal,-0.0056332905831477315
FoldInd_lh_caudalanteriorcingulate,-0.0052945657564780774
FoldInd_lh_caudalmiddlefrontal,-0.004675689378255418
FoldInd_lh_cuneus,-0.002875451776061422
FoldInd_lh_entorhinal,-0.028017226671546214
FoldInd_lh_fusiform,-0.00712558369636936
FoldInd_lh_inferiorparietal,-0.0039585337382445655
FoldInd_lh_inferiortemporal,-0.00413760887816094
FoldInd_lh_insula,-0.00408293927225195
FoldInd_lh_isthmuscingulate,-0.011426309815525585
FoldInd_lh_lateraloccipital,-0.002008152443355668
FoldInd_lh_lateralorbitofrontal,-0.006213039882508058
FoldInd_lh_lingual,-0.0034233855177519695
FoldInd_lh_medialorbitofrontal,-6.720281916597126e-05
FoldInd_lh_middletemporal,-0.0041522705273947386
FoldInd_lh_paracentral,-0.010466877136661484
FoldInd_lh_parahippocampal,-0.007762526318383732
FoldInd_lh_parsopercularis,-0.006236812291083028
FoldInd_lh_parsorbitalis,-0.008685191446962505
FoldInd_lh_parstriangularis,-0.004700157971134694
FoldInd_lh_pericalcarine,-0.0031829131212004233
FoldInd_lh_postcentral,-0.003104031199969811
FoldInd_lh_posteriorcingulate,-0.006045909021176599
FoldInd_lh_precentral,-0.003987718913696371
FoldInd_lh_precuneus,-0.005643193329241434
FoldInd_lh_rostralanteriorcingulate,-0.00908575165143834
FoldInd_lh_rostralmiddlefrontal,-0.0034256171325749295
FoldInd_lh_superiorfrontal,-0.0029450304438218286
FoldInd_lh_superiorparietal,-0.00398764670131147
FoldInd_lh_superiortemporal,-0.002776788919690289
FoldInd_lh_supramarginal,-0.0050713415121003205
FoldInd_lh_transversetemporal,-0.021507169683926842
FoldInd_rh_caudalanteriorcingulate,-0.006063828806619403
FoldInd_rh_caudalmiddlefrontal,-0.003611370742118058
FoldInd_rh_cuneus,-0.0053241917007097505
FoldInd_rh_entorhinal,-0.0034328425024141565
FoldInd_rh_fusiform,-0.005181844986689899
FoldInd_rh_inferiorparietal,-0.00399396016214826
FoldInd_rh_inferiortemporal,-0.0054418288843169575
FoldInd_rh_insula,-0.002421244253818896
FoldInd_rh_isthmuscingulate,-0.012285421505065104
FoldInd_rh_lateraloccipital,-0.0023620334582148596
FoldInd_rh_lateralorbitofrontal,-0.0038998003629854322
FoldInd_rh_lingual,-0.0048380315871091525
FoldInd_rh_medialorbitofrontal,-0.002901859102248673
FoldInd_rh_middletemporal,-0.005051428439621778
FoldInd_rh_paracentral,-0.0081537213415452
FoldInd_rh_parahippocampal,-0.008703333619652006
FoldInd_rh_parsopercularis,-0.00557422373662805
FoldInd_rh_parsorbitalis,-0.015273213938575564
FoldInd_rh_parstriangularis,-0.0021555637120074297
FoldInd_rh_pericalcarine,-0.00359652436979917
FoldInd_rh_postcentral,-0.003977465204975262
FoldInd_rh_posteriorcingulate,-0.010526590257403871
FoldInd_rh_precentral,-0.0038359959416458863
FoldInd_rh_precuneus,-0.005730027328215857
FoldInd_rh_rostralanteriorcingulate,-0.007453430591993752
FoldInd_rh_rostralmiddlefrontal,-0.003715487971632621
FoldInd_rh_superiorfrontal,-0.0027452686658839594
