Cohort,Group,N,Age (mean +/- SD),Sex (F/M),Scanner
ALSPAC-20 / MRI-I,Controls,124,20.18 +/- 0.63,75/49 (60.5% F),CARDIFF_ESCANER: 124
ALSPAC-20 / MRI-I,Suspected,41,20.49 +/- 0.51,27/14 (65.9% F),CARDIFF_ESCANER: 41
ALSPAC-20 / MRI-I,Definite,45,19.84 +/- 0.47,29/16 (64.4% F),CARDIFF_ESCANER: 45
ALSPAC-20 / MRI-I,Clinical Disorder,35,19.97 +/- 0.62,27/8 (77.1% F),CARDIFF_ESCANER: 35
ALSPAC-20 / MRI-I,PEs (any),121,20.10 +/- 0.60,83/38 (68.6% F),CARDIFF_ESCANER: 121
ALSPAC-30 / MRI-II,Controls,210,29.47 +/- 1.16,87/123 (41.4% F),CARDIFF_ESCANER: 210
ALSPAC-30 / MRI-II,Suspected,29,29.45 +/- 1.23,15/14 (51.7% F),CARDIFF_ESCANER: 29
ALSPAC-30 / MRI-II,Definite,26,29.44 +/- 1.02,17/9 (65.4% F),CARDIFF_ESCANER: 26
ALSPAC-30 / MRI-II,Clinical Disorder,14,29.55 +/- 1.23,11/3 (78.6% F),CARDIFF_ESCANER: 14
ALSPAC-30 / MRI-II,PEs (any),69,29.47 +/- 1.14,43/26 (62.3% F),CARDIFF_ESCANER: 69
