PC,rho_age_ctrl_raw,p_age_ctrl_raw,rho_age_ctrl_oriented,p_age_ctrl_oriented,q_age_ctrl_oriented,rho_age_all_raw,p_age_all_raw,rho_age_all_oriented,p_age_all_oriented,explained_var_ratio,R2_age_ctrl,R2_age_plus_scanner_ctrl,deltaR2_scanner_ctrl,F_scanner_block_ctrl,df1_scanner_block_ctrl,df2_scanner_block_ctrl,p_scanner_block_ctrl,partial_r_age_given_scanner_ctrl,partial_p_age_given_scanner_ctrl
0,-0.34218630178576315,0.00022174494244071012,0.34218630178576315,0.00022174494244071012,0.011087247122035506,-0.3157668809223918,1.264639170089101e-06,0.3157668809223918,1.264639170089101e-06,0.20069711473087626,0.2201279281372861,0.2201279281372861,0.0,,0,109,,0.4688608395592186,1.8483271557734327e-07
1,-0.18127703431744357,0.05577195569198198,0.18127703431744357,0.05577195569198198,0.30984419828878873,-0.18252176048419924,0.005926097802584658,0.18252176048419924,0.005926097802584658,0.08071230209925395,0.02689169738962549,0.02689169738962549,0.0,,0,109,,0.10245571907819158,0.2823939343823749
2,-0.23118653337831693,0.01418587603641908,0.23118653337831693,0.01418587603641908,0.23643126727365135,-0.2005787543337251,0.0024496964535877987,0.2005787543337251,0.0024496964535877987,0.04501094453963805,0.05785359230363074,0.05785359230363074,0.0,,0,109,,0.2171092747028508,0.021482719803201045
3,0.016024033249396146,0.8668265868834727,0.016024033249396146,0.8668265868834727,0.9740735407527888,-0.0032968681485271824,0.9606897037632733,-0.0032968681485271824,0.9606897037632733,0.03231856437114855,0.0019010932414114112,0.0019010932414114112,0.0,,0,109,,-0.04161772540222098,0.6630628239837368
4,0.17413159254589122,0.06632560027181444,0.17413159254589122,0.06632560027181444,0.3131308294764026,0.2065514563615711,0.001798328259397313,0.2065514563615711,0.001798328259397313,0.027791673982282356,0.050940753042928666,0.050940753042928666,0.0,,0,109,,0.18335344281103977,0.052977986830403445
5,0.04947946943450027,0.6043992776121059,0.04947946943450027,0.6043992776121059,0.8637184023621773,0.06832010669730236,0.3065081307799052,0.06832010669730236,0.3065081307799052,0.022413951784823184,0.03856067212687353,0.03856067212687353,0.0,,0,109,,0.04272003820007701,0.6547027009628374
6,0.006524287866791274,0.9455685575352666,0.006524287866791274,0.9455685575352666,0.9740735407527888,0.003436812095245059,0.9590225066391284,0.003436812095245059,0.9590225066391284,0.021971639714669897,0.02044407027542494,0.02044407027542494,0.0,,0,109,,0.009372939240383692,0.9218662196564191
7,0.13456886691956968,0.15718302886348956,0.13456886691956968,0.15718302886348956,0.537868569015288,0.20028566418116503,0.0024865941151545924,0.20028566418116503,0.0024865941151545924,0.021639508169516788,0.04152899840818447,0.04152899840818447,0.0,,0,109,,0.15318537492980797,0.10685164991420404
8,0.18876563104337443,0.04623361830474517,0.18876563104337443,0.04623361830474517,0.30984419828878873,0.14473795105110254,0.029608374536621865,0.14473795105110254,0.029608374536621865,0.020769607454920125,0.027062733733490107,0.027062733733490107,0.0,,0,109,,0.16378492894544788,0.08442583394495928
9,-0.013105044270379012,0.8909195534814397,0.013105044270379012,0.8909195534814397,0.9740735407527888,0.018970590180929354,0.7766904010401406,-0.018970590180929354,0.7766904010401406,0.01922864814973097,0.000845475304478982,0.000845475304478982,0.0,,0,109,,0.012452084682515518,0.8963234255034009
10,-0.1813552215222387,0.055664598044806966,0.1813552215222387,0.055664598044806966,0.30984419828878873,-0.1788314650137671,0.007032936594631276,0.1788314650137671,0.007032936594631276,0.018723874380298804,0.035034538325029674,0.035034538325029674,0.0,,0,109,,0.16350162426044362,0.08497199404765521
11,0.04579598334193103,0.6316016716362303,0.04579598334193103,0.6316016716362303,0.8637184023621773,0.12044949089489386,0.07071589254744971,0.12044949089489386,0.07071589254744971,0.018196598689845415,0.003142780608779594,0.003142780608779594,0.0,,0,109,,0.0537800837378397,0.5733138923677954
12,-0.1169941207750707,0.21926569684850641,0.1169941207750707,0.21926569684850641,0.5770149917065958,-0.14148755485469297,0.033508573777363035,0.14148755485469297,0.033508573777363035,0.016849429704871886,0.025650597259146424,0.025650597259146424,0.0,,0,109,,0.14615444088855545,0.12412919503218345
13,-0.061963359800118196,0.5163215355296329,0.061963359800118196,0.5163215355296329,0.852569396376416,-0.10052516951482304,0.13189685796687514,0.10052516951482304,0.13189685796687514,0.016674026404618986,0.00702757573250512,0.00702757573250512,0.0,,0,109,,0.07233377144411769,0.44850220168748134
14,-0.003444580744584208,0.971246348246736,0.003444580744584208,0.971246348246736,0.9740735407527888,-0.03461790769508288,0.6046740982613775,0.03461790769508288,0.6046740982613775,0.015761389998448068,0.008047491798479967,0.008047491798479967,0.0,,0,109,,0.08715426731323929,0.36084982546673894
15,-0.0996365613105581,0.2959173976727058,0.0996365613105581,0.2959173976727058,0.671290799171088,-0.02079619857264143,0.7558496909884378,0.02079619857264143,0.7558496909884378,0.015273827495178369,0.015157303577725934,0.015157303577725934,0.0,,0,109,,0.07379071233113,0.4393912068818655
16,-0.12362700198185518,0.19406214198067379,0.12362700198185518,0.19406214198067379,0.5707710058255111,-0.17353947146637147,0.00894184028853242,0.17353947146637147,0.00894184028853242,0.014762597126635956,0.01171248619459686,0.01171248619459686,0.0,,0,109,,0.0984974496018564,0.30150101450333233
17,-0.08063707054534835,0.39800676725723183,0.08063707054534835,0.39800676725723183,0.7806388783653474,-0.048814560976655236,0.46526184286725236,0.048814560976655236,0.46526184286725236,0.01408287584443246,0.014639384957176427,0.014639384957176427,0.0,,0,109,,0.07238760019892514,0.4481637120856927
18,0.010659522253732215,0.9111822887746256,0.010659522253732215,0.9111822887746256,0.9740735407527888,0.011678718421380529,0.8613923467612526,0.011678718421380529,0.8613923467612526,0.013304093747033677,0.012700102462084084,0.012700102462084084,0.0,,0,109,,-0.03471822151984909,0.7162980361434128
19,0.06975167414443029,0.4649063193640064,0.06975167414443029,0.4649063193640064,0.8301898560071542,0.059984200286201675,0.3694156722752431,0.059984200286201675,0.3694156722752431,0.013167956737794898,0.00568521103434505,0.00568521103434505,0.0,,0,109,,0.06288190614091232,0.5101101476300416
20,-0.043841303222053485,0.646242435286198,0.043841303222053485,0.646242435286198,0.8637184023621773,-0.01644209351343806,0.8058178177276358,0.01644209351343806,0.8058178177276358,0.012346174988231795,0.008896480447697641,0.008896480447697641,0.0,,0,109,,0.04403486147241184,0.6447865000190265
21,0.25201473598901214,0.00734983125862107,0.25201473598901214,0.00734983125862107,0.18374578146552675,0.20747983922319382,0.0017126554545870219,0.20747983922319382,0.0017126554545870219,0.012109641968404384,0.044196947942263476,0.044196947942263476,0.0,,0,109,,0.21021510171725524,0.0261033854673991
22,-0.1529385163128189,0.10742461653851636,0.1529385163128189,0.10742461653851636,0.44760256891048483,-0.09645517707197522,0.14835374682727623,0.09645517707197522,0.14835374682727623,0.011541480192668289,0.02657014144591896,0.02657014144591896,0.0,,0,109,,0.15894268465444025,0.09415429932922903
23,-0.18586836073235596,0.04974947747002207,0.18586836073235596,0.04974947747002207,0.30984419828878873,-0.1866155169934709,0.00488291509157588,0.1866155169934709,0.00488291509157588,0.011058064873151547,0.028323279573893467,0.028323279573893467,0.0,,0,109,,0.1620896194408668,0.08773623923216145
24,-0.0378903881904263,0.6916343269116446,0.0378903881904263,0.6916343269116446,0.8645429086395557,-0.027644474425612835,0.679341323369526,0.027644474425612835,0.679341323369526,0.010892962910577047,0.0023910045996321516,0.0023910045996321516,0.0,,0,109,,0.047357945079047344,0.6200036488683103
25,-0.13474261626355882,0.15664297594196833,0.13474261626355882,0.15664297594196833,0.537868569015288,-0.10814287302956029,0.10491307403200098,0.10814287302956029,0.10491307403200098,0.010222242891567085,0.021606702900736074,0.021606702900736074,0.0,,0,109,,0.14575878694191247,0.12516186891815506
26,0.0045087954765175384,0.9623685439088192,0.0045087954765175384,0.9623685439088192,0.9740735407527888,-0.002766665422094171,0.9670076670675287,-0.002766665422094171,0.9670076670675287,0.009956898123050995,0.011928421083619134,0.011928421083619134,0.0,,0,109,,0.04410170139582466,0.6442840450657048
27,-0.07503799793529911,0.43167527603905254,0.07503799793529911,0.43167527603905254,0.7993986593315788,-0.12723914871735326,0.05613484707905483,0.12723914871735326,0.05613484707905483,0.009281358540737295,0.012700427302882233,0.012700427302882233,0.0,,0,109,,0.1126068831522981,0.23716043589476143
28,-0.041178594525420296,0.666404901522733,0.041178594525420296,0.666404901522733,0.8637184023621773,-0.056438073485407185,0.39843540118082765,0.056438073485407185,0.39843540118082765,0.008884422174631621,8.137413671427396e-05,8.137413671427396e-05,0.0,,0,109,,0.00834101245047476,0.9304456099967378
29,-0.13323968443805298,0.16136057070458643,0.13323968443805298,0.16136057070458643,0.537868569015288,-0.15921924503939539,0.016592300764186045,0.15921924503939539,0.016592300764186045,0.008735089413787181,0.020372103534713082,0.020372103534713082,0.0,,0,109,,0.13076865723517195,0.1693457288916571
30,-0.19780059693080845,0.03656905560590164,0.19780059693080845,0.03656905560590164,0.30984419828878873,-0.19695024543599482,0.002943541731504072,0.19695024543599482,0.002943541731504072,0.008496273929419462,0.03374863996409361,0.03374863996409361,0.0,,0,109,,0.17129763166924253,0.07093723657120266
31,-0.08645332983538398,0.3647398438452176,0.08645332983538398,0.3647398438452176,0.7598746746775368,-0.014771743689028087,0.8252102720138136,0.014771743689028087,0.8252102720138136,0.008414832636467673,0.016374070945519903,0.016374070945519903,0.0,,0,109,,0.10016142899921512,0.2933677624026978
32,-0.024198939884084014,0.8000660852438735,0.024198939884084014,0.8000660852438735,0.9740735407527888,0.03620904396474688,0.5881626663556303,-0.03620904396474688,0.5881626663556303,0.008221271659423393,0.0015022659381308534,0.0015022659381308534,0.0,,0,109,,-0.03574859719889725,0.7082532951803411
33,0.01603706445019533,0.8667192852304871,0.01603706445019533,0.8667192852304871,0.9740735407527888,0.0019233051092320999,0.9770613361799507,0.0019233051092320999,0.9770613361799507,0.00799174527707661,0.007708865429452039,0.007708865429452039,0.0,,0,109,,0.03513200958220367,0.7130635610497236
34,-0.008240062638683788,0.9312853462504689,0.008240062638683788,0.9312853462504689,0.9740735407527888,0.003799082085616619,0.9547075126517724,-0.003799082085616619,0.9547075126517724,0.00771272075112164,0.016812911617125836,0.016812911617125836,0.0,,0,109,,0.004985148655997379,0.9583961752609051
35,-0.1725374423147911,0.06888878248480856,0.1725374423147911,0.06888878248480856,0.3131308294764026,-0.2162899707820404,0.001066603528781384,0.2162899707820404,0.001066603528781384,0.0076513415870460635,0.04643087219101705,0.04643087219101705,0.0,,0,109,,0.18254978576092099,0.05404537045963176
36,-0.003105769523805434,0.9740735407527888,0.003105769523805434,0.9740735407527888,0.9740735407527888,0.040088923876204385,0.5487942405774314,-0.040088923876204385,0.5487942405774314,0.0072434438441316175,0.0036386460151432987,0.0036386460151432987,0.0,,0,109,,-0.016773055777317983,0.8606629670060726
