PC,rho_age_ctrl_raw,p_age_ctrl_raw,rho_age_ctrl_oriented,p_age_ctrl_oriented,q_age_ctrl_oriented,rho_age_all_raw,p_age_all_raw,rho_age_all_oriented,p_age_all_oriented,explained_var_ratio,R2_age_ctrl,R2_age_plus_scanner_ctrl,deltaR2_scanner_ctrl,F_scanner_block_ctrl,df1_scanner_block_ctrl,df2_scanner_block_ctrl,p_scanner_block_ctrl,partial_r_age_given_scanner_ctrl,partial_p_age_given_scanner_ctrl
0,0.5718380174792317,3.0231378359676815e-11,0.5718380174792317,3.0231378359676815e-11,7.557844589919204e-10,0.4823594283852043,4.8677552866149664e-15,0.4823594283852043,4.8677552866149664e-15,0.18032002529373364,0.3244335432059824,0.3384772943820794,0.014043751176097019,2.335237500166651,1,110,0.12934620737488656,0.20775356735069364,0.027241038555727126
1,-0.6354149522735587,3.1027618122115246e-14,0.6354149522735587,3.1027618122115246e-14,1.5513809061057623e-12,-0.6177740123912081,5.111600493861025e-26,0.6177740123912081,5.111600493861025e-26,0.10193426443517163,0.570278862245369,0.6441374410518932,0.07385857880652424,22.830285076161672,1,110,5.5064976173246905e-06,-0.2247750980437597,0.016686717362491166
2,-0.162725304715996,0.08366017262580369,0.162725304715996,0.08366017262580369,0.9925007630383892,-0.165055709393987,0.011448132634764945,0.165055709393987,0.011448132634764945,0.07213872434261516,0.024396681628201966,0.06921328319996112,0.04481660157175915,5.296407956746316,1,110,0.023253300231228402,0.260829810627082,0.005265889293970094
3,0.08835166463510317,0.34990626594853425,0.08835166463510317,0.34990626594853425,0.9925007630383892,0.12462093688239942,0.05696850603143864,0.12462093688239942,0.05696850603143864,0.036298799441202886,0.024147664355663512,0.04632157381745694,0.02217390946179343,2.557602199895423,1,110,0.112633396942038,-0.08072281309497031,0.39535699849537154
4,0.1372912340943609,0.14522088762971738,0.1372912340943609,0.14522088762971738,0.9925007630383892,0.1405896333367832,0.03157263793949171,0.1405896333367832,0.03157263793949171,0.028870846480328963,0.006423791495577258,0.0976436676687844,0.09121987617320715,11.119982228228743,1,110,0.0011647218421882988,0.2664535759403038,0.004334813168980878
5,0.03550550104925602,0.7076341099116132,0.03550550104925602,0.7076341099116132,0.9925007630383892,0.07200333488592864,0.2726565098452146,0.07200333488592864,0.2726565098452146,0.026013418767060547,0.02983111981063724,0.030616760251703234,0.0007856404410659934,0.08914993056791307,1,110,0.7658239410745988,0.06824574947058135,0.47261296073947134
6,0.0359670395958573,0.7040094840281326,0.0359670395958573,0.7040094840281326,0.9925007630383892,0.019841655021045745,0.7627105143125238,0.019841655021045745,0.7627105143125238,0.021750374809148165,0.0017514467435719716,0.0018469538143083275,9.550707073635589e-05,0.010525217371369622,1,110,0.9184732032693693,-0.010933499008964172,0.9084959672302926
7,-0.03171429155931688,0.7376488521549956,0.03171429155931688,0.7376488521549956,0.9925007630383892,-0.03084041951282805,0.6388173150347618,0.03084041951282805,0.6388173150347618,0.021194008684412687,0.03525929559072649,0.03561922569696896,0.0003599301062424676,0.04105464640280209,1,110,0.8398067712330205,0.0803842340221488,0.3973485778465067
8,-0.035728028562795916,0.7058857004643575,0.035728028562795916,0.7058857004643575,0.9925007630383892,-0.003436072849754156,0.9583051987719194,0.003436072849754156,0.9583051987719194,0.01923045306169611,0.028207282001103784,0.02820949181852539,2.209817421605642e-06,0.0002501361294745506,1,110,0.9874100795748725,0.08814191315922763,0.35322495610872906
9,-0.015156596199995778,0.8728386156549928,0.015156596199995778,0.8728386156549928,0.9925007630383892,0.01906830067466756,0.7716989720623098,-0.01906830067466756,0.7716989720623098,0.018307651087791525,0.0012565109252439255,0.008436728259384907,0.007180217334140981,0.7965441331535317,1,110,0.37407691436818735,0.09046826302596438,0.34061335986759844
10,-0.024873630957904982,0.7927883572149071,0.024873630957904982,0.7927883572149071,0.9925007630383892,0.02946123126925638,0.6538976191318966,-0.02946123126925638,0.6538976191318966,0.01775145526559024,0.0016881324067656855,0.0017773196354679,8.91872287022144e-05,0.00982806276617652,1,110,0.9212102630469273,0.013674332412690516,0.8856973744831471
11,0.12173491254596935,0.19696270800176668,0.12173491254596935,0.19696270800176668,0.9925007630383892,0.0590314460125562,0.36867607003189884,0.0590314460125562,0.36867607003189884,0.017325985597251913,0.007899888175853853,0.022755282317357683,0.01485539414150383,1.6721434518882599,1,110,0.19868086969431642,0.14842913534866214,0.11665159207605047
12,0.15056870906890857,0.10981014820143246,0.15056870906890857,0.10981014820143246,0.9925007630383892,0.09380621652938946,0.15259337251916835,0.09380621652938946,0.15259337251916835,0.01669847241852159,0.01082473954367047,0.015383926558444228,0.004559187014773758,0.5093463179736337,1,110,0.47693349561210174,0.06666228050031968,0.48297128420272095
13,-0.034706050352464504,0.7139279309030437,0.034706050352464504,0.7139279309030437,0.9925007630383892,0.013297887474768786,0.839652344273746,-0.013297887474768786,0.839652344273746,0.015616834186018926,0.007012615681705525,0.009253452202407253,0.002240836520701728,0.24879422272541477,1,110,0.6189213826566174,0.08288067255210316,0.3828045145424297
14,-0.024337916573457057,0.7971539810856485,0.024337916573457057,0.7971539810856485,0.9925007630383892,-0.056572893056624066,0.3889876315626585,0.056572893056624066,0.3889876315626585,0.014954780139558782,0.001160320812033655,0.004418690927635804,0.0032583701156021494,0.3600114922308013,1,110,0.5497339084094083,0.03898967784546756,0.6817959512704532
15,0.08772941177316752,0.35332354166953583,0.08772941177316752,0.35332354166953583,0.9925007630383892,0.06098743762093426,0.35299408216225137,0.06098743762093426,0.35299408216225137,0.01447576445852282,0.0012935384748051781,0.030226216868150524,0.028932678393345346,3.281790741950059,1,110,0.07278103764510435,0.14342266756748467,0.12964612491904326
16,-0.0066098913281112635,0.9443549884709426,0.0066098913281112635,0.9443549884709426,0.9925007630383892,-0.009759017985742205,0.8819573562763958,0.009759017985742205,0.8819573562763958,0.01391743672223231,0.02925375256551599,0.029260873038607693,7.120473091704049e-06,0.0008068615123603609,1,110,0.9773903618451879,-0.07851158393945874,0.4084711696927803
17,0.015226651157962045,0.8722558347368488,0.015226651157962045,0.8722558347368488,0.9925007630383892,0.007154836457507477,0.9133109595787954,0.007154836457507477,0.9133109595787954,0.013637308359478016,0.002193059459621338,0.012738667980348728,0.01054560852072739,1.1749846769618268,1,110,0.28074955075330665,0.06215603915338751,0.5131026864641415
18,0.029159346033488343,0.7581044036646734,0.029159346033488343,0.7581044036646734,0.9925007630383892,0.022937927868760498,0.7270519516633125,0.022937927868760498,0.7270519516633125,0.012883887355509119,0.006064949881692594,0.01849688449306197,0.012431934611369377,1.3932842246194224,1,110,0.24039744081485936,0.056781171039120844,0.5502648899228375
19,-0.046842041600150076,0.6206734420702065,0.046842041600150076,0.6206734420702065,0.9925007630383892,-0.04014589491881739,0.54115197951801,0.04014589491881739,0.54115197951801,0.01230306044780451,0.004296495960382174,0.006965553647318989,0.0026690576869368154,0.29565575156169105,1,110,0.5877191229114505,-0.07688827485350438,0.41825914939202447
20,0.005526099919574317,0.9534676142093332,0.005526099919574317,0.9534676142093332,0.9925007630383892,-0.028860632386099903,0.6605092872357374,-0.028860632386099903,0.6605092872357374,0.01190142554811858,0.009489700964886438,0.011796146384709938,0.0023064454198234996,0.25673750942419865,1,110,0.6133846035756524,0.085585602280472,0.36741445732685696
21,-0.07485578302689595,0.4286264251033075,0.07485578302689595,0.4286264251033075,0.9925007630383892,-0.03633147332729668,0.5802831780838518,0.03633147332729668,0.5802831780838518,0.010853242056722025,0.0034752672894829972,0.005174115556087933,0.0016988482666049354,0.18784524231695215,1,110,0.6655648278970068,0.05609842884637111,0.5550772999193927
22,0.01820604731146856,0.8475377289432724,0.01820604731146856,0.8475377289432724,0.9925007630383892,0.003095796937347754,0.9624310548214285,0.003095796937347754,0.9624310548214285,0.010700956166899398,0.0033171442847886867,0.007616014704738494,0.004298870419949807,0.4765048138637437,1,110,0.49146368853405786,0.0837460011776623,0.3778392571507281
23,0.0009436814926044136,0.9920494343922817,0.0009436814926044136,0.9920494343922817,0.9925007630383892,0.06795762085604498,0.30058389456946,0.06795762085604498,0.30058389456946,0.010483446586568499,0.0014382305387553584,0.004928215853985174,0.0034899853152298155,0.38579968881817595,1,110,0.5358005609853181,-0.05905013555971855,0.5344188810310313
